Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-03-15 17:46:06.098 +0530,"Success",0:00:00,0,0,0,"20240315_174606.098/LogFile.txt","","",1
2024-03-15 18:03:23.620 +0530,"Success",0:00:00,0,0,0,"20240315_180323.620/LogFile.txt","","",1
2024-03-15 18:04:28.191 +0530,"Success",0:00:00,0,0,0,"20240315_180428.191/LogFile.txt","","",1
